n,value
1,0.0
2,0.14358251057827923
3,0.14386459802538784
4,0.14414668547249646
5,0.15430183356840618
6,0.15486600846262338
7,0.15740479548660083
8,0.6296191819464034
9,0.6479548660084626
10,0.6502115655853314
11,0.651904090267983
12,0.6558533145275035
13,0.6578279266572638
14,0.6581100141043723
15,0.6583921015514809
16,0.7198871650211565
17,0.7207334273624822
18,0.8913963328631874
19,0.9325811001410436
20,0.9334273624823693
21,0.9362482369534554
22,0.9373765867418898
23,0.947249647390691
24,0.9475317348377995
25,0.9489421720733425
26,0.9915373765867417
27,0.9926657263751761
28,0.9929478138222847
29,0.9932299012693933
30,0.9937940761636105
31,0.994076163610719
32,0.9943582510578276
33,0.9997179125528911
34,0.9999999999999997
