file,source,length,seed,path
shuffle_0000_planck_EE_full_s00.csv,CLE_PILOT_I\cosmology\raw\planck_EE_full.json,3990,383329927,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0000_planck_EE_full_s00.csv
shuffle_0001_planck_EE_full_s01.csv,CLE_PILOT_I\cosmology\raw\planck_EE_full.json,3990,3324115916,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0001_planck_EE_full_s01.csv
shuffle_0002_planck_EE_full_s02.csv,CLE_PILOT_I\cosmology\raw\planck_EE_full.json,3990,2811363264,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0002_planck_EE_full_s02.csv
shuffle_0003_planck_EE_full_s03.csv,CLE_PILOT_I\cosmology\raw\planck_EE_full.json,3990,1884968544,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0003_planck_EE_full_s03.csv
shuffle_0004_planck_EE_full_s04.csv,CLE_PILOT_I\cosmology\raw\planck_EE_full.json,3990,1859786275,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0004_planck_EE_full_s04.csv
shuffle_0005_planck_TE_full_s00.csv,CLE_PILOT_I\cosmology\raw\planck_TE_full.json,3990,3687649985,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0005_planck_TE_full_s00.csv
shuffle_0006_planck_TE_full_s01.csv,CLE_PILOT_I\cosmology\raw\planck_TE_full.json,3990,369133708,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0006_planck_TE_full_s01.csv
shuffle_0007_planck_TE_full_s02.csv,CLE_PILOT_I\cosmology\raw\planck_TE_full.json,3990,2995172877,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0007_planck_TE_full_s02.csv
shuffle_0008_planck_TE_full_s03.csv,CLE_PILOT_I\cosmology\raw\planck_TE_full.json,3990,865305066,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0008_planck_TE_full_s03.csv
shuffle_0009_planck_TE_full_s04.csv,CLE_PILOT_I\cosmology\raw\planck_TE_full.json,3990,404488628,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0009_planck_TE_full_s04.csv
shuffle_0010_planck_TT_full_s00.csv,CLE_PILOT_I\cosmology\raw\planck_TT_full.json,5014,2261209995,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0010_planck_TT_full_s00.csv
shuffle_0011_planck_TT_full_s01.csv,CLE_PILOT_I\cosmology\raw\planck_TT_full.json,5014,4190266092,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0011_planck_TT_full_s01.csv
shuffle_0012_planck_TT_full_s02.csv,CLE_PILOT_I\cosmology\raw\planck_TT_full.json,5014,3160032368,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0012_planck_TT_full_s02.csv
shuffle_0013_planck_TT_full_s03.csv,CLE_PILOT_I\cosmology\raw\planck_TT_full.json,5014,3269070126,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0013_planck_TT_full_s03.csv
shuffle_0014_planck_TT_full_s04.csv,CLE_PILOT_I\cosmology\raw\planck_TT_full.json,5014,3081541439,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0014_planck_TT_full_s04.csv
shuffle_0015_L_bkg2c14;1_bkg_hit_s00.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_hit.txt,173,3376120482,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0015_L_bkg2c14;1_bkg_hit_s00.csv
shuffle_0016_L_bkg2c14;1_bkg_hit_s01.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_hit.txt,173,2204291346,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0016_L_bkg2c14;1_bkg_hit_s01.csv
shuffle_0017_L_bkg2c14;1_bkg_hit_s02.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_hit.txt,173,550243861,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0017_L_bkg2c14;1_bkg_hit_s02.csv
shuffle_0018_L_bkg2c14;1_bkg_hit_s03.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_hit.txt,173,3606691181,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0018_L_bkg2c14;1_bkg_hit_s03.csv
shuffle_0019_L_bkg2c14;1_bkg_hit_s04.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_hit.txt,173,1934392872,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0019_L_bkg2c14;1_bkg_hit_s04.csv
shuffle_0020_L_bkg2c14;1_bkg_phi_s00.csv,CLE_PILOT_I\neutrino\raw\L_bkg2c14;1_bkg_phi.txt,159,2148995112,CLE_PILOT_I\adversarial\raw\shuffle\shuffle_0020_L_bkg2c14;1_bkg_phi_s00.csv
