n,value
1,0.0
2,0.767696536192724
3,1.120041041945826
4,1.2407293064562661
5,1.536105892222814
6,1.7703702263807162
7,2.761239800130757
8,2.8989826128138576
9,3.6896760881094774
10,3.8888743805233403
11,4.2965728692757
12,4.853858349488055
13,5.6750751488911755
14,6.337652497124555
15,7.271808317949337
16,7.482219020281151
17,7.883207245270335
18,8.519049419897462
19,9.187867794691382
20,9.62478637448258
21,10.250767525162624
22,11.07603687525095
23,11.677775217591488
24,12.168853214501873
25,12.42468901825513
26,12.987772434689358
27,13.469412658099706
28,13.957539130960122
29,14.231448735860651
30,15.078928979805015
31,15.640725292587236
32,16.094999702907995
33,16.184423658476074
34,16.403394863237285
35,17.097798893202896
36,18.08049893063311
37,18.593023495204868
38,19.142786218464956
39,19.18882532923008
40,19.361091911562376
41,19.71594480545128
42,19.913876776768472
43,20.307892966903044
44,21.20850843053683
45,21.830388684246383
46,22.531237741706423
47,22.71576602674586
48,23.402447990492654
49,23.890500513589053
50,24.51289779802097
51,25.261920549170718
52,25.631380310197443
53,25.85074467912689
54,26.20887550570438
55,27.05946379116304
56,27.893518848454818
57,27.90668056035817
58,28.83454942313914
59,29.479801631010652
60,30.191574128925215
61,30.34902396166857
62,30.395670713503993
63,30.48034163039433
64,30.514102732366425
65,30.561948789564095
66,31.010927110433133
67,31.62492592486976
68,32.42439154105608
69,32.56368068087239
70,33.56234646545475
71,33.91413272712369
72,34.80489231117666
73,35.087625897965985
74,35.18813752836512
75,36.09214658680635
76,36.37160793236429
77,36.90832559350232
78,37.17847623950146
79,37.20978822815107
80,37.2919675837918
81,38.10095416529498
82,38.22835028638349
83,38.59059359730998
84,38.621678249063194
85,39.02549953616865
86,39.50430230569142
87,39.71472067657313
88,40.450481705033766
89,41.05749209410251
90,41.395701772595444
91,41.40738710930256
92,41.96708338362767
93,42.254181270622595
94,43.215273176003656
95,43.99108941986314
96,44.92461463709337
97,44.99650671941157
98,45.43471357390675
99,46.43210165824979
100,47.20539526160104
101,47.284323514089685
102,47.85643813234848
103,48.46260077722966
104,48.95118425725199
105,49.298076539667214
106,49.75052096040056
107,50.112725132655584
108,50.344081534775775
109,51.18367237818587
110,51.267725304593185
111,51.86999948538023
112,52.09823689287982
113,52.92951595477796
114,53.8707635130245
115,53.8984457535033
116,54.59402110241667
117,54.629594860529934
118,54.71540478273864
119,55.025121790587356
120,55.805679235239566
121,55.88911944673092
122,56.49558083657487
123,57.03597991832019
124,57.54396579561689
125,58.22132019981188
126,59.12723466056663
127,60.07448250242808
128,60.26578112612283
129,60.94873018090974
130,61.29355409464124
131,61.81684045295563
132,62.14523650681822
133,62.73758385830815
134,62.83606370540049
135,63.610784490613206
136,63.647982609299
137,63.76200567815407
138,64.0727991199281
139,64.87863621918034
140,65.12929397828813
141,65.62764840752938
142,65.97323726707076
143,66.2382880493207
144,66.31891930172945
145,66.34758560444467
146,67.07736471783605
147,67.73249725041575
148,68.02549989544494
149,68.29288205400553
150,69.23025648728824
151,69.88703640035173
152,70.24977202065837
153,71.15008698931351
154,71.31337265689872
155,71.54545762360235
156,72.4940493594778
157,73.27482938592512
158,73.93544865275001
159,74.2723036814309
160,74.74131820301672
161,75.42326497234144
162,75.81790107399749
163,76.05026576184191
164,76.98731704568507
165,77.63814022307632
166,77.73418575800817
167,78.5164948564865
168,78.62221252229976
169,79.46391741826925
170,80.04078498593228
171,80.58144374638937
172,80.67643778242106
173,81.67189856997531
174,82.5114357304379
175,83.40920336865716
176,84.21261534602395
177,84.54734705114438
178,84.77716339749858
179,85.31207465918042
180,85.54467198028507
181,86.39790676888512
182,87.02509424471097
183,87.11099619713536
184,87.99614794818332
185,88.0441266903706
186,88.48174513273554
187,89.21685237722946
188,89.67974990058651
189,89.75742796767746
190,90.56597277014059
191,91.1515511366588
192,92.08939136006191
193,92.2350459673381
194,92.65369030832912
195,92.80699406799214
196,93.38559871356146
197,93.82972866302805
198,93.91196634158185
199,94.41582813304632
200,94.44438759756878
201,95.39641895983928
202,96.1878587344345
203,96.28372055619526
204,96.55723884668352
205,96.9951688007068
206,97.86501220133037
207,98.29759850173065
208,98.44363314836536
209,98.46524508181867
210,98.87804416192677
211,99.29915268760924
212,99.838880851692
213,100.66721644581466
214,100.67464200418853
215,101.2864551565873
216,102.05343940149646
217,102.08571517145127
218,102.41798094994628
219,103.2513089704777
220,103.59319283378018
221,103.7525164099835
222,104.49221158417744
223,104.8783188361355
224,105.26550303948605
225,105.87219461905235
226,106.15992236657804
227,106.49247880330317
228,107.13459723687895
229,107.16790534742321
230,108.11265589261791
231,108.80847553657814
232,109.56755305366077
233,110.49180575045762
234,111.30446775794117
235,111.88017206698778
236,112.02936468115897
237,112.74135957324683
238,112.97908703199256
239,113.64703408834235
240,114.52432399960009
241,114.70153721574128
242,114.75593508392963
243,114.9637035672857
244,115.6945630403025
245,116.07584511442272
246,117.01044350903281
247,117.46245095799667
248,118.40269019918983
249,118.85186815476413
250,119.61214936667402
251,120.05296834422747
252,120.53775874163162
253,121.29225608325484
254,122.04620421548054
255,122.53280526570302
256,122.87714721964765
257,123.69683312313722
258,123.91224881134137
259,124.86547048771925
260,124.9419671674137
261,125.62165769595688
262,125.83610192511532
263,126.64127639906302
264,126.66953127139934
265,127.43544007607632
266,128.26982784880147
267,129.14578236485414
268,130.068929939644
269,130.3063894247723
270,131.1994702349482
271,132.14047205511417
272,132.91682897201486
273,133.02996161695467
274,133.29769678178994
275,133.55418419624218
276,133.72109689176662
277,133.82885556066023
278,134.3671371643671
279,134.75192578684172
280,135.5985793483971
281,135.7489217139553
282,136.63368362613917
283,136.71258743085627
284,137.4709010482738
285,138.08995818576744
286,138.95135278495707
287,139.73989003090026
288,139.79008863844524
289,139.9900432694228
290,140.55307140792422
291,141.41629204154754
292,141.96639720513133
293,142.89184519162134
294,143.71113054303893
295,143.73205812141882
296,143.97670418914714
297,144.0318319069574
298,144.0507977948963
299,144.68999521283942
300,145.24948258394033
301,146.15721285112025
302,146.88922845594095
303,147.7547437918451
304,147.8274689068683
305,148.5562816495318
306,148.71742194846726
307,149.4656584507395
308,149.53041052723134
309,149.6765574982165
310,150.1355847033763
311,150.69116355449222
312,151.58435398879217
313,152.51411041973947
314,153.21593768555664
315,153.46103506286664
316,154.14403940489657
317,154.74204475277844
318,155.2078697305231
319,155.49241285059233
320,156.37490767349368
321,156.39500196591322
322,156.7008698266744
323,157.42258034086908
324,157.72709300386052
325,158.57475517360695
326,159.49975912752166
327,159.89797142278672
328,160.16314026413377
329,160.218234785863
330,160.30898978192715
331,160.60170851878965
332,161.12791136684754
333,161.726812887714
334,162.25533999030904
335,162.9060509744279
336,163.19516011794934
337,163.31712311740515
338,164.20254724591405
