file,class,length,seed,path
uniform_0000_n98.csv,R1_uniform,98,3324115916,CLE_PILOT_I\adversarial\raw\uniform_0000_n98.csv
uniform_0001_n658.csv,R1_uniform,658,1884968544,CLE_PILOT_I\adversarial\raw\uniform_0001_n658.csv
uniform_0002_n439.csv,R1_uniform,439,3687649985,CLE_PILOT_I\adversarial\raw\uniform_0002_n439.csv
uniform_0003_n95.csv,R1_uniform,95,2995172877,CLE_PILOT_I\adversarial\raw\uniform_0003_n95.csv
uniform_0004_n209.csv,R1_uniform,209,404488628,CLE_PILOT_I\adversarial\raw\uniform_0004_n209.csv
uniform_0005_n531.csv,R1_uniform,531,4190266092,CLE_PILOT_I\adversarial\raw\uniform_0005_n531.csv
uniform_0006_n739.csv,R1_uniform,739,3269070126,CLE_PILOT_I\adversarial\raw\uniform_0006_n739.csv
uniform_0007_n721.csv,R1_uniform,721,3376120482,CLE_PILOT_I\adversarial\raw\uniform_0007_n721.csv
uniform_0008_n518.csv,R1_uniform,518,550243861,CLE_PILOT_I\adversarial\raw\uniform_0008_n518.csv
uniform_0009_n842.csv,R1_uniform,842,1934392872,CLE_PILOT_I\adversarial\raw\uniform_0009_n842.csv
uniform_0010_n505.csv,R1_uniform,505,1592565386,CLE_PILOT_I\adversarial\raw\uniform_0010_n505.csv
uniform_0011_n190.csv,R1_uniform,190,3980425317,CLE_PILOT_I\adversarial\raw\uniform_0011_n190.csv
uniform_0012_n784.csv,R1_uniform,784,2765379632,CLE_PILOT_I\adversarial\raw\uniform_0012_n784.csv
uniform_0013_n408.csv,R1_uniform,408,3533734220,CLE_PILOT_I\adversarial\raw\uniform_0013_n408.csv
uniform_0014_n550.csv,R1_uniform,550,1904449481,CLE_PILOT_I\adversarial\raw\uniform_0014_n550.csv
uniform_0015_n456.csv,R1_uniform,456,975982877,CLE_PILOT_I\adversarial\raw\uniform_0015_n456.csv
uniform_0016_n101.csv,R1_uniform,101,2381923522,CLE_PILOT_I\adversarial\raw\uniform_0016_n101.csv
