domain,file,rows,columns,path
cosmology,planck_EE_canonical.csv,1994,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\cosmology\planck_EE_canonical.csv
cosmology,planck_TE_canonical.csv,1994,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\cosmology\planck_TE_canonical.csv
cosmology,planck_TT_canonical.csv,2506,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\cosmology\planck_TT_canonical.csv
neutrino,L_bkg2c14_1_bkg_hit_canonical.csv,172,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkg_hit_canonical.csv
neutrino,L_bkg2c14_1_bkg_phi_canonical.csv,158,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkg_phi_canonical.csv
neutrino,L_bkg2c14_1_bkg_theta_canonical.csv,158,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkg_theta_canonical.csv
neutrino,L_bkg2c14_1_bkgdr_hit_canonical.csv,99,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkgdr_hit_canonical.csv
neutrino,L_bkg2c14_1_bkgdr_phi_canonical.csv,99,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkgdr_phi_canonical.csv
neutrino,L_bkg2c14_1_bkgdr_theta_canonical.csv,99,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2c14_1_bkgdr_theta_canonical.csv
neutrino,L_bkg2doubleC14_canonical.csv,99756,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2doubleC14_canonical.csv
neutrino,L_bkg2fiveC14_canonical.csv,99576,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2fiveC14_canonical.csv
neutrino,L_bkg2fourC14_canonical.csv,99647,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2fourC14_canonical.csv
neutrino,L_bkg2singleC14_canonical.csv,99840,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2singleC14_canonical.csv
neutrino,L_bkg2tripleC14_canonical.csv,99663,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_bkg2tripleC14_canonical.csv
neutrino,L_deepL_Graph_1_canonical.csv,17,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_Graph_1_canonical.csv
neutrino,L_deepL_Graph_2_canonical.csv,17,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_Graph_2_canonical.csv
neutrino,L_deepL_Graph_3_canonical.csv,27,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_Graph_3_canonical.csv
neutrino,L_deepL_Graph_4_canonical.csv,25,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_Graph_4_canonical.csv
neutrino,L_deepL_h_SigSB_significance_0_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_h_SigSB_significance_0_1_canonical.csv
neutrino,L_deepL_h_SigSB_significance_1_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_h_SigSB_significance_1_1_canonical.csv
neutrino,L_deepL_h_SigSB_significance_2_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_h_SigSB_significance_2_1_canonical.csv
neutrino,L_deepL_h_SigSB_significance_3_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_h_SigSB_significance_3_1_canonical.csv
neutrino,L_deepL_hBkgeff_1_canonical.csv,192,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hBkgeff_1_canonical.csv
neutrino,L_deepL_hBkgRejective_1_canonical.csv,192,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hBkgRejective_1_canonical.csv
neutrino,L_deepL_hSigeff_1_canonical.csv,150,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigeff_1_canonical.csv
neutrino,L_deepL_hSigeff_purity_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigeff_purity_1_canonical.csv
neutrino,L_deepL_hSigpur_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigpur_1_canonical.csv
neutrino,L_deepL_hSigSB_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigSB_1_canonical.csv
neutrino,L_deepL_hSigSB_ratio_0_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigSB_ratio_0_1_canonical.csv
neutrino,L_deepL_hSigSB_ratio_1_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigSB_ratio_1_1_canonical.csv
neutrino,L_deepL_hSigSB_ratio_2_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigSB_ratio_2_1_canonical.csv
neutrino,L_deepL_hSigSB_ratio_3_1_canonical.csv,198,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_hSigSB_ratio_3_1_canonical.csv
neutrino,L_deepL_MVA_BDTG_rejBvsS_1_canonical.csv,86,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_MVA_BDTG_rejBvsS_1_canonical.csv
neutrino,L_deepL_test_B_1_canonical.csv,31,7,C:\Users\igorc\OneDrive\Desktop\UNNS_SUBSTRATE(desktop)\TRANSFER\Bulk_2\REGIME_SYNTHESIS\Predictive Admissibility Search\cle_v2_0_0\experimental artifacts\CLE_PILOT_I\canonical\neutrino\L_deepL_test_B_1_canonical.csv
