b_object_id,b_object_name,c_object_id,c_object_name,matched_object_family,is_object_matched_pair,euclidean_distance,manhattan_distance,cosine_similarity,mean_GR_delta_c_minus_b,var_GR_delta_c_minus_b,anisotropic_bounded_delta_c_minus_b,admissibility_persistence_delta_c_minus_b,collapse_onset_radius_delta_c_minus_b,kappa_connect_delta_c_minus_b,tail_dominance_delta_c_minus_b,nearest_c_rank_for_b,interpretation
B_SN1987A,SN1987A,C1_SN1993J,SN1993J,,no,1.60530546172,3.17398320616,0.0617079231777,0.72767302985,31.4923886552,0.304379120626,-0.197254084163,-0.1,200.983142443,0.570045625357,1,cross-object strong separation
B_SN1987A,SN1987A,C2_SN2012aw,SN2012aw,,no,2.6457282231,6.99993891338,1.93172867446e-05,2.15992781533e+13,4.35708661756e+28,0.5040839682,-0.213095238143,-0.1,3991.93224039,0.959428716937,2,cross-object strong separation
B_SN1993J,SN1993J,C1_SN1993J,SN1993J,SN1993J,yes,0.712109467708,1.06552856276,0.711835535677,0.96856944565,31.7688224556,-0.195523942674,0.007064852737,0,200.983142443,0.570045625357,1,object-matched weak separation across B-C layers
B_SN1993J,SN1993J,C2_SN2012aw,SN2012aw,,no,2.00041066187,4.04941785512,0.446855965067,2.15992781533e+13,4.35708661756e+28,0.0041809049,-0.008776301243,0,3991.93224039,0.959428716937,2,cross-object strong separation
B_SN1999em,SN1999em,C1_SN1993J,SN1993J,,no,1.22325812895,2.37435244457,0.235135376296,0.91654393925,31.7316131685,0.179187046526,-0.186314573163,-0.05,201.227011005,0.570045625357,1,cross-object moderate separation
B_SN1999em,SN1999em,C2_SN2012aw,SN2012aw,,no,2.39059244043,6.20030815178,0.100902409062,2.15992781533e+13,4.35708661756e+28,0.3788918941,-0.202155727143,-0.05,3992.17610895,0.959428716937,2,cross-object strong separation
B_SN2011dh,SN2011dh,C1_SN1993J,SN1993J,,no,1.0457852797,1.80286408888,0.599634149067,0.93800339235,31.7401852704,-0.199694051474,-0.162455549363,0,200.404838946,0.570045625357,1,cross-object moderate separation
B_SN2011dh,SN2011dh,C2_SN2012aw,SN2012aw,,no,2.16786862933,4.83651508469,0.343058096861,2.15992781533e+13,4.35708661756e+28,1.07961e-05,-0.178296703343,0,3991.35393689,0.959428716937,2,cross-object strong separation
B_SN2012aw,SN2012aw,C1_SN1993J,SN1993J,,no,0.64829362306,1.14147195544,0.843458370062,0.60271896485,30.1949697546,-0.199704327274,-0.094769612063,0,197.004838946,0.241030154157,1,cross-object weak separation
B_SN2012aw,SN2012aw,C2_SN2012aw,SN2012aw,SN2012aw,yes,1.92329396256,4.17508218106,0.510348150782,2.15992781533e+13,4.35708661756e+28,5.20299999973e-07,-0.110610766043,0,3987.95393689,0.630413245737,2,object-matched separation across B-C layers
B_SN2013ej,SN2013ej,C1_SN1993J,SN1993J,,no,0.77937499169,1.34878479934,0.693232139089,0.73988129455,31.3578572808,-0.199704847574,-0.065652352563,0,201.08861118,0.570045625357,1,cross-object moderate separation
B_SN2013ej,SN2013ej,C2_SN2012aw,SN2012aw,,no,2.036217463,4.38239296062,0.41772475237,2.15992781533e+13,4.35708661756e+28,0,-0.081493506543,0,3992.03770912,0.959428716937,2,cross-object strong separation
