object_id,object_name,supernova_type,band,phase_name,stage_index,alpha,alpha_radius,gap_base,duration_base,slope_base,curvature_base,gap_alpha,duration_alpha,slope_alpha,curvature_alpha,gap_response_norm,duration_response_norm,slope_response_norm,curvature_response_norm,structural_response,phase_persistence_score,boundary_role,support_regime_proxy,alpha_status,instability_flag
B_SN1987A,SN1987A,II Pec,B,rise,1,0.5,0.5,1.13,68.27,0.05387142347,2.037467123,0.565,34.135,0.02693571173,1.018733561,0.4956140351,0.4319792458,0.7791265146,1.18780085,0.6228784924,0.6161890768,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.55,0.45,1.13,68.27,0.05387142347,2.037467123,0.6215,37.5485,0.02962928291,1.120606918,0.4460526316,0.3887813212,0.7012138631,1.069020765,0.5605906432,0.6407830294,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.6,0.4,1.13,68.27,0.05387142347,2.037467123,0.678,40.962,0.03232285408,1.222480274,0.3964912281,0.3455833966,0.6233012117,0.9502406798,0.4983027939,0.6674218349,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.65,0.35,1.13,68.27,0.05387142347,2.037467123,0.7345,44.3755,0.03501642526,1.32435363,0.3469298246,0.302385472,0.5453885602,0.8314605948,0.4360149447,0.6963715828,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.7,0.3,1.13,68.27,0.05387142347,2.037467123,0.791,47.789,0.03770999643,1.426226986,0.2973684211,0.2591875475,0.4674759087,0.7126805099,0.3737270954,0.727946623,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.75,0.25,1.13,68.27,0.05387142347,2.037467123,0.8475,51.2025,0.0404035676,1.528100342,0.2478070175,0.2159896229,0.3895632573,0.5939004249,0.3114392462,0.7625210263,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.8,0.2,1.13,68.27,0.05387142347,2.037467123,0.904,54.616,0.04309713878,1.629973698,0.198245614,0.1727916983,0.3116506058,0.4751203399,0.249151397,0.8005434749,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.85,0.15,1.13,68.27,0.05387142347,2.037467123,0.9605,58.0295,0.04579070995,1.731847055,0.1486842105,0.1295937737,0.2337379544,0.3563402549,0.1868635477,0.8425568398,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.9,0.1,1.13,68.27,0.05387142347,2.037467123,1.017,61.443,0.04848428112,1.833720411,0.09912280702,0.08639584915,0.1558253029,0.23756017,0.1245756985,0.889224266,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,0.95,0.05,1.13,68.27,0.05387142347,2.037467123,1.0735,64.8565,0.0511778523,1.935593767,0.04956140351,0.04319792458,0.07791265146,0.118780085,0.06228784924,0.9413644341,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1,0,1.13,68.27,0.05387142347,2.037467123,1.13,68.27,0.05387142347,2.037467123,0,0,0,0,0,1,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.05,0.05,1.13,68.27,0.05387142347,2.037467123,1.1865,71.6835,0.05656499464,2.139340479,0.04956140351,0.04319792458,0.07791265146,0.118780085,0.06228784924,0.9413644341,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.1,0.1,1.13,68.27,0.05387142347,2.037467123,1.243,75.097,0.05925856582,2.241213835,0.09912280702,0.08639584915,0.1558253029,0.23756017,0.1245756985,0.889224266,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.15,0.15,1.13,68.27,0.05387142347,2.037467123,1.2995,78.5105,0.06195213699,2.343087191,0.1486842105,0.1295937737,0.2337379544,0.3563402549,0.1868635477,0.8425568398,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.2,0.2,1.13,68.27,0.05387142347,2.037467123,1.356,81.924,0.06464570816,2.444960548,0.198245614,0.1727916983,0.3116506058,0.4751203399,0.249151397,0.8005434749,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.25,0.25,1.13,68.27,0.05387142347,2.037467123,1.4125,85.3375,0.06733927934,2.546833904,0.2478070175,0.2159896229,0.3895632573,0.5939004249,0.3114392462,0.7625210263,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.3,0.3,1.13,68.27,0.05387142347,2.037467123,1.469,88.751,0.07003285051,2.64870726,0.2973684211,0.2591875475,0.4674759087,0.7126805099,0.3737270954,0.727946623,boundary_response_rise,shock_cooling,valid,no
