struc_perc_id,source_ladder_id,object_name,supernova_type,band,phase_name,stage_index,n_points,time_start_mjd,time_end_mjd,duration_days,time_mid_mjd,mag_start,mag_end,mag_min,mag_max,mag_mean,mag_median,mag_range,mean_slope,median_slope,mean_curvature,median_curvature,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
B_SN1999em_B_peak,B_SN1999em_B,SN1999em,II P,B,peak,2,30,51481.3,51488.4,7.1,51484.85,13.852,13.821,13.675,13.95,13.82923333,13.85,0.275,-0.06868006724,0.03950068399,85.09692202,0.03002636461,peak,maximum_observable_response,ejecta_cooling,transition_state,0.275,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_B_early_decline,B_SN1999em_B,SN1999em,II P,B,early_decline,3,71,51488.44,51523.34,34.9,51505.89,13.95,14.98,13.841,15.142,14.46498592,14.452,1.301,0.4026728017,0.07262596899,-2.017694791,-0.08783584705,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,1.301,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_B_plateau_or_shoulder,B_SN1999em_B,SN1999em,II P,B,plateau_or_shoulder,4,47,51525.01,51590.03,65.02,51557.52,15.06,16.29,14.71,16.29,15.38731915,15.301,1.58,0.9531333863,0.04078428199,12.18335496,-0.02995413174,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,1.58,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_B_break,B_SN1999em_B,SN1999em,II P,B,break,5,23,51607.1,51666,58.9,51636.55,18.265,18.431,17.77,18.6,18.15565217,18.1,0.83,-3.345273307,0.01059063136,109.7797199,0.04642663524,break,transition_break,ambiguous,transition_state,0.83,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_B_tail_decay,B_SN1999em_B,SN1999em,II P,B,tail_decay,6,6,51787.24,51985.03,197.79,51886.135,19.13,20.69,18.79,20.69,19.62533333,19.47,1.9,-1.000126326,0.00575397266,-0.05045115344,-9.926103417e-05,tail_onset,tail_decay,radioactive_tail,relaxation_state,1.9,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_C_peak,B_SN1999em_C,SN1999em,II P,C,peak,2,32,51482.96,51489.99,7.03,51486.475,13.6,13.1,12.8,14.1,13.41125,13.4,1.3,-4.271262114,0,-47.4702726,-0.6105006105,peak,maximum_observable_response,ejecta_cooling,transition_state,1.3,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_C_early_decline,B_SN1999em_C,SN1999em,II P,C,early_decline,3,92,51490.34,51524.98,34.64,51507.66,13.5,14,13,14.8,13.80304348,13.7,1.8,-1.882270828,0,65.75279454,0.3514332386,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,1.8,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_C_plateau_or_shoulder,B_SN1999em_C,SN1999em,II P,C,plateau_or_shoulder,4,74,51525.58,51604.15,78.57,51564.865,14,15.9,13.2,15.9,14.23554054,14.3,2.7,0.8313952375,0,4.959066668,0,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,2.7,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_C_break,B_SN1999em_C,SN1999em,II P,C,break,5,2,51605.83,51616.75,10.92,51611.29,15.75,15.7,15.7,15.75,15.725,15.725,0.05,-0.04693223443,-0.04693223443,0.006810155003,0.006810155003,break,transition_break,ambiguous,transition_state,0.05,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
B_SN1999em_C_tail_decay,B_SN1999em_C,SN1999em,II P,C,tail_decay,6,3,51786.4,51848.89,62.49,51817.645,17.6,19.6,17.6,19.6,18.9,19.5,2,0.02147401871,0.0202020202,-0.000109081348,-0.000109081348,tail_onset,tail_decay,radioactive_tail,relaxation_state,2,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1999em_OSC_raw.json::SN1999em::photometry
