struc_perc_id,source_ladder_id,object_name,supernova_type,band,phase_name,stage_index,n_points,time_start_mjd,time_end_mjd,duration_days,time_mid_mjd,mag_start,mag_end,mag_min,mag_max,mag_mean,mag_median,mag_range,mean_slope,median_slope,mean_curvature,median_curvature,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
B_SN2013ej_B_rise,B_SN2013ej_B,SN2013ej,II,B,rise,1,11,56498.318,56504.39,6.072,56501.354,14.57,12.66,12.62,14.57,12.97181818,12.86,1.95,-0.3205439908,-0.1588983051,-3.096608745,0.2448816362,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,1.95,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_B_peak,B_SN2013ej_B,SN2013ej,II,B,peak,2,24,56505.42,56513.899,8.479,56509.6595,12.61,12.87,12.47,12.976,12.68195833,12.631,0.506,-8.13495626,0.006074483736,-147.869347,0.02175819341,peak,maximum_observable_response,ejecta_cooling,transition_state,0.506,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_B_early_decline,B_SN2013ej_B,SN2013ej,II,B,early_decline,3,84,56514.672,56549.41,34.738,56532.041,12.88,14.51,12.88,14.67,13.73708333,13.663,1.79,1.069373811,0.0502829998,-4914.263881,0.1329100217,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,1.79,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_B_plateau_or_shoulder,B_SN2013ej_B,SN2013ej,II,B,plateau_or_shoulder,4,110,56549.862,56628.5,78.638,56589.181,14.7,18.06,14.47,18.16,16.40013636,15.91,3.69,-1.628636864,0.02538071066,502.7923361,-0.02690842183,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,3.69,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_B_break,B_SN2013ej_B,SN2013ej,II,B,break,5,48,56630.02,56728.14,98.12,56679.08,18.09,19.45,17.96,19.45,18.42533333,18.37,1.49,-0.02816943388,0.002717391304,0.1376161987,-0.01069328469,break,transition_break,ambiguous,transition_state,1.49,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_B_tail_decay,B_SN2013ej_B,SN2013ej,II,B,tail_decay,6,13,56732.13,56958.27,226.14,56845.2,19.14,21.15,19.14,21.15,20.56153846,20.68,2.01,0.01452532248,0.00852442247,0.002243242988,-0.000447205636,tail_onset,tail_decay,radioactive_tail,relaxation_state,2.01,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_H_rise,B_SN2013ej_H,SN2013ej,II,H,rise,1,2,56507.755,56510.762,3.007,56509.2585,12.12,12,12,12.12,12.06,12.06,0.12,-0.03990688394,-0.03990688394,0.003067157118,0.003067157118,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,0.12,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_H_peak,B_SN2013ej_H,SN2013ej,II,H,peak,2,3,56520.852,56521.776,0.924,56521.314,11.8,11.68,11.68,11.97,11.81666667,11.8,0.29,-0.06208185687,-0.01982160555,-0.6468273994,0.08118008568,peak,maximum_observable_response,ejecta_cooling,transition_state,0.29,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_H_early_decline,B_SN2013ej_H,SN2013ej,II,H,early_decline,3,8,56533.2,56560.826,27.626,56547.013,11.89,12.01,11.8,12.09,11.94875,11.94,0.29,-0.009969724251,0.007153075823,0.0007202506866,-0.0009452126088,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,0.29,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
B_SN2013ej_H_plateau_or_shoulder,B_SN2013ej_H,SN2013ej,II,H,plateau_or_shoulder,4,22,56567.771,56641.573,73.802,56604.672,12.05,15.07,12.05,15.07,13.50954545,13.695,3.02,-0.01499103086,0.0240535126,0.04873426471,-0.0005942621267,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,3.02,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2013ej_OSC_raw.json::SN2013ej::photometry
