struc_perc_id,source_ladder_id,object_id,object_name,spectrum_index,spectrum_id,spectrum_file,spectrum_date,phase_days,spectral_phase_role,line_id,line_name,element_group,rest_wavelength,n_points_window,continuum_level,line_flux_proxy,line_depth_proxy,equivalent_width_proxy,velocity_proxy_km_s,width_proxy_angstrom,signal_quality_proxy,delta_line_flux,delta_line_depth,delta_equivalent_width,delta_velocity,delta_width,delta_signal_quality,line_transition_flag,element_transition_flag,gap,gap_source,boundary_role,struc_perc_role,alpha_ready,unns_interpretation,raw_reference
C1_SN1993J_spectral_state_00001,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,H_beta,H beta,H,4861.3,140,4885.31,-34.7525714286,0.0711950725747,1.9918326575,8588.36438932,97.9734178504,0.0521787264347,0,0,0,0,0,0,0,0,0.614277503377,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::H_beta
C1_SN1993J_spectral_state_00002,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,Fe_II_5169,Fe II 5169,Fe,5169,180,4384.395,-60.3436666667,0.0532810114052,4.95478167455,9488.64786614,115.519246258,0.102029009038,0,0,0,0,0,0,1,1,1.03435047798,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::Fe_II_5169
C1_SN1993J_spectral_state_00003,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,He_I_5876,He I 5876,He,5875.6,160,3153.8,-13.645625,0.143709176232,1.38455196905,870.756941927,105.440975874,0.0301810296205,0,0,0,0,0,0,1,1,0.343027917997,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::He_I_5876
C1_SN1993J_spectral_state_00004,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,Ni_Co_decay_proxy,Ni/Co decay proxy blend,NiCo,5890,260,3145.105,-19.4271538462,0.144734436529,3.21201358937,13065.3816707,182.565878083,0.0266727438109,0,0,0,0,0,0,1,1,0.533441421471,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::Ni_Co_decay_proxy
C1_SN1993J_spectral_state_00005,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,Si_II_6355,Si II 6355,Si,6355,160,2564.155,-5.6223125,0.0678020634478,0.701650251252,835.933523742,115.842278945,0.0168382052362,0,0,0,0,0,0,1,1,0.230103853245,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::Si_II_6355
C1_SN1993J_spectral_state_00006,C1_SN1993J,C1_SN1993J,SN1993J,1,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm,1993-03-30 00:00:00.00,,early_spectral_state,H_alpha,H alpha,H,6562.8,180,2270.515,111.3395,0.035690140783,-17.6533605812,-7951.98601435,86.5005240867,0.340653704812,0,0,0,0,0,0,1,1,1.72663975495,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None.flm::H_alpha
C1_SN1993J_spectral_state_00007,C1_SN1993J,C1_SN1993J,SN1993J,2,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat,1993-03-30 00:00:00.00,,early_spectral_state,H_beta,H beta,H,4861.3,42,6051.2339,-594.952571429,0.153953559786,27.1714984674,7962.96808151,75.9560821298,0.740118900529,-560.2,0.0827584872113,25.1796658099,-625.39630781,-22.0173357206,0.687940174094,1,0,1025.45057238,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat::H_beta
C1_SN1993J_spectral_state_00008,C1_SN1993J,C1_SN1993J,SN1993J,2,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat,1993-03-30 00:00:00.00,,early_spectral_state,Fe_II_5169,Fe II 5169,Fe,5169,52,5284.9797,-481.497726923,0.134342389243,33.115509182,9493.86828991,98.3358024242,0.659894980531,-421.154060256,0.0810613778378,28.1607275074,5.22042377,-17.1834438338,0.557865971493,1,1,771.193387856,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat::Fe_II_5169
C1_SN1993J_spectral_state_00009,C1_SN1993J,C1_SN1993J,SN1993J,2,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat,1993-03-30 00:00:00.00,,early_spectral_state,He_I_5876,He I 5876,He,5875.6,40,3768.1684,-307.3432425,0.140605313712,25.9696696177,7971.96077616,88.8163212671,0.631250886742,-293.6976175,-0.00310386252,24.5851176486,7101.20383423,-16.6246546069,0.601069857122,1,1,542.330544477,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat::He_I_5876
C1_SN1993J_spectral_state_00010,C1_SN1993J,C1_SN1993J,SN1993J,2,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0,SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat,1993-03-30 00:00:00.00,,early_spectral_state,Ni_Co_decay_proxy,Ni/Co decay proxy blend,NiCo,5890,65,3880.0763,-445.52568,0.238367090874,59.4472285707,13093.8880798,134.776950943,0.545166680153,-426.098526154,0.093632654345,56.2352149813,28.5064091,-47.78892714,0.518493936342,1,1,782.130258432,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C1_SN1993J/SN1993J_1993-03-30_00-00-00_Lick-3m_KAST_None_0.dat::Ni_Co_decay_proxy
